ZIP|PRO_2018_Enc|Male|Female|Black|White|Asian|Other|MultiRacial|Unreported|HispanicLatino|Not_HispanicLatino
27214|28|28|0|28|0|0|0|0|0|28|0
28025|5|0|5|0|0|0|0|0|5|0|5
28031|168|13|155|26|45|9|5|0|83|80|88
28035|13|0|13|0|0|13|0|0|0|13|0
28036|12|0|12|0|12|0|0|0|0|12|0
28078|362|37|325|26|253|18|13|0|52|305|57
28079|31|0|31|0|0|31|0|0|0|31|0
28104|130|18|112|79|21|0|17|0|13|100|30
28105|934|219|715|79|197|114|173|11|360|448|486
28106|18|0|18|18|0|0|0|0|0|18|0
28134|838|308|530|104|207|47|161|1|318|336|502
28166|47|0|47|0|47|0|0|0|0|47|0
28173|12|4|8|0|0|12|0|0|0|12|0
28202|281|106|175|173|28|0|52|0|28|219|62
28203|142|66|76|32|81|0|28|0|1|113|29
28204|48|2|46|42|6|0|0|0|0|48|0
28205|1821|670|1151|452|428|51|240|0|650|1047|774
28206|670|277|393|404|42|64|56|4|100|573|97
28207|18|0|18|0|18|0|0|0|0|18|0
28208|1158|373|785|552|167|39|189|0|211|762|396
28209|531|159|372|209|153|4|50|0|115|366|165
28210|1380|549|831|160|374|73|259|0|514|607|773
28211|337|100|237|124|135|17|0|0|61|293|44
28212|2148|847|1301|366|320|163|373|14|912|900|1248
28213|1181|413|768|496|35|78|46|0|526|681|500
28214|1459|500|959|370|256|54|365|0|414|748|711
28215|2225|638|1587|908|151|117|418|1|630|1211|1014
28216|1600|339|1261|1134|123|19|127|20|177|1327|273
28217|1838|506|1332|261|265|17|570|0|725|596|1242
28224|24|0|24|0|0|0|0|0|24|0|24
28226|895|225|670|223|108|18|343|9|194|321|574
28227|1991|541|1450|370|445|54|492|0|630|884|1107
28228|2|0|2|0|0|0|0|0|2|0|2
28256|29|0|29|29|0|0|0|0|0|29|0
28262|753|271|482|346|71|68|94|0|174|545|208
28266|12|12|0|0|12|0|0|0|0|12|0
28269|1466|422|1044|716|196|48|260|0|246|1016|450
28270|562|172|390|41|269|85|59|0|108|417|145
28271|12|12|0|0|12|0|0|0|0|12|0
28272|53|0|53|0|29|0|24|0|0|29|24
28273|1279|399|880|126|156|71|348|0|578|387|892
28277|1046|317|729|75|205|336|93|24|313|651|395
28278|536|203|333|89|121|65|63|59|139|334|202
28299|4|4|0|0|0|0|0|0|4|0|4
